year,state,candidate,party_simplified,candidatevotes,rank
1976,ALABAMA,"CARTER, JIMMY",DEMOCRAT,659170,1.0
1976,ALABAMA,"FORD, GERALD",REPUBLICAN,504070,2.0
1976,ALABAMA,"MADDOX, LESTER",OTHER,9198,3.0
1976,ALABAMA,"BUBAR, BENJAMIN """"BEN""""",OTHER,6669,4.0
1976,ALABAMA,"HALL, GUS",OTHER,1954,5.0
1976,ALABAMA,"MACBRIDE, ROGER",LIBERTARIAN,1481,6.0
1976,ALABAMA,,OTHER,308,7.0
1980,ALABAMA,"REAGAN, RONALD",REPUBLICAN,654192,1.0
1980,ALABAMA,"CARTER, JIMMY",DEMOCRAT,636730,2.0
1980,ALABAMA,"ANDERSON, JOHN B.",OTHER,16481,3.0
1980,ALABAMA,"RARICK, JOHN",OTHER,15010,4.0
1980,ALABAMA,"CLARK, EDWARD """"ED""""",LIBERTARIAN,13318,5.0
1980,ALABAMA,"BUBAR, BENJAMIN """"BEN""""",OTHER,1743,6.0
1980,ALABAMA,"HALL, GUS",OTHER,1629,7.0
1980,ALABAMA,"DEBERRY, CLIFTON",OTHER,1303,8.0
1980,ALABAMA,"MCREYNOLDS, DAVID",OTHER,1006,9.0
1980,ALABAMA,"COMMONER, BARRY",OTHER,517,10.0
1984,ALABAMA,"REAGAN, RONALD",REPUBLICAN,872849,1.0
1984,ALABAMA,"MONDALE, WALTER",DEMOCRAT,551899,2.0
1984,ALABAMA,"BERGLAND, DAVID",LIBERTARIAN,9504,3.0
1984,ALABAMA,"HALL, GUS",OTHER,4671,4.0
1984,ALABAMA,"RICHARDS, BOB",OTHER,1401,5.0
1984,ALABAMA,"MASON, MELVIN",OTHER,730,6.0
1984,ALABAMA,"SERRETTE, DENNIS",OTHER,659,7.0
1988,ALABAMA,"BUSH, GEORGE H.W.",REPUBLICAN,815576,1.0
1988,ALABAMA,"DUKAKIS, MICHAEL",DEMOCRAT,549506,2.0
1988,ALABAMA,"PAUL, RONALD """"RON""""",LIBERTARIAN,8460,3.0
1988,ALABAMA,"WINN, EDWARD",OTHER,4428,4.0
1988,ALABAMA,,OTHER,506,5.0
1992,ALABAMA,"BUSH, GEORGE H.W.",REPUBLICAN,804283,1.0
1992,ALABAMA,"CLINTON, BILL",DEMOCRAT,690080,2.0
1992,ALABAMA,"PEROT, ROSS",OTHER,183109,3.0
1992,ALABAMA,"MARROU, ANDRE",LIBERTARIAN,5737,4.0
1992,ALABAMA,OTHER,OTHER,4128,5.0
1992,ALABAMA,,OTHER,723,6.0
1996,ALABAMA,"DOLE, ROBERT",REPUBLICAN,769044,1.0
1996,ALABAMA,"CLINTON, BILL",DEMOCRAT,662165,2.0
1996,ALABAMA,,OTHER,95030,3.0
1996,ALABAMA,"BROWNE, HARRY",LIBERTARIAN,5290,4.0
1996,ALABAMA,"HAGELIN, JOHN",OTHER,1697,5.0
1996,ALABAMA,,OTHER,1123,6.0
2000,ALABAMA,"BUSH, GEORGE W.",REPUBLICAN,941173,1.0
2000,ALABAMA,"GORE, AL",DEMOCRAT,692611,2.0
2000,ALABAMA,,OTHER,25896,3.0
2000,ALABAMA,"BROWNE, HARRY",LIBERTARIAN,5893,4.0
2000,ALABAMA,,OTHER,699,5.0
2004,ALABAMA,"BUSH, GEORGE W.",REPUBLICAN,1176394,1.0
2004,ALABAMA,"KERRY, JOHN",DEMOCRAT,693933,2.0
2004,ALABAMA,OTHER,OTHER,12190,3.0
2004,ALABAMA,OTHER,OTHER,898,4.0
